,playerID,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
102954,birdgr01,2017,1,NYA,AL,48,147,20,28,7,0,9,28.0,0.0,0.0,19,42.0,0.0,2.0,0.0,2.0,2.0
102966,bogaexa01,2017,1,BOS,AL,148,571,94,156,32,6,10,62.0,15.0,1.0,56,116.0,6.0,6.0,0.0,2.0,17.0
102979,boyerbl01,2017,1,BOS,AL,32,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
102984,bradlja02,2017,1,BOS,AL,133,482,58,118,19,3,17,63.0,8.0,3.0,48,124.0,4.0,9.0,0.0,2.0,8.0
102991,bregmal01,2017,1,HOU,AL,155,556,88,158,39,5,19,71.0,17.0,5.0,55,97.0,2.0,7.0,1.0,7.0,15.0
103009,buehlwa01,2017,1,LAN,NL,8,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
103044,cartech02,2017,1,NYA,AL,62,184,20,37,5,1,8,26.0,0.0,0.0,20,76.0,0.0,2.0,0.0,2.0,5.0
103048,castifa01,2017,1,LAN,NL,2,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
103054,castrst01,2017,1,NYA,AL,112,443,66,133,18,1,16,63.0,2.0,0.0,23,93.0,1.0,4.0,0.0,3.0,9.0
103059,centeju01,2017,1,HOU,AL,22,52,5,12,0,0,2,4.0,0.0,0.0,4,12.0,1.0,0.0,1.0,0.0,2.0
103063,cessalu01,2017,1,NYA,AL,10,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
103067,chapmar01,2017,1,NYA,AL,52,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
103074,choiji01,2017,1,NYA,AL,6,15,2,4,1,0,2,5.0,0.0,0.0,2,5.0,0.0,0.0,0.0,1.0,1.0
103077,cingrto01,2017,2,LAN,NL,22,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
103083,clippty01,2017,1,NYA,AL,40,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
103085,clippty01,2017,3,HOU,AL,16,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
103103,coopega03,2017,1,NYA,AL,13,43,3,14,5,1,0,6.0,0.0,0.0,1,12.0,0.0,0.0,0.0,1.0,0.0
103107,correca01,2017,1,HOU,AL,109,422,82,133,25,1,24,84.0,2.0,1.0,53,92.0,5.0,2.0,0.0,4.0,12.0
103123,culbech01,2017,1,LAN,NL,15,13,0,2,1,0,0,1.0,0.0,0.0,2,4.0,0.0,0.0,0.0,0.0,2.0
103130,darnach01,2017,2,BOS,AL,2,1,2,1,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
103134,darviyu01,2017,2,LAN,NL,9,17,0,1,0,0,0,0.0,0.0,0.0,1,14.0,0.0,0.0,2.0,0.0,0.0
103138,davisjd01,2017,1,HOU,AL,25,62,8,14,4,0,4,7.0,1.0,1.0,4,20.0,0.0,1.0,0.0,1.0,3.0
103141,davisra01,2017,2,BOS,AL,17,36,7,9,2,0,0,2.0,3.0,1.0,1,13.0,0.0,1.0,0.0,0.0,2.0
103145,daytogr01,2017,1,LAN,NL,29,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
103162,devench02,2017,1,HOU,AL,62,1,0,0,0,0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0
103163,deverra01,2017,1,BOS,AL,58,222,34,63,14,0,10,30.0,3.0,1.0,18,57.0,3.0,0.0,0.0,0.0,5.0
103165,diazda01,2017,1,HOU,AL,10,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
103174,dicksok01,2017,1,LAN,NL,7,7,0,1,0,0,0,0.0,0.0,0.0,2,2.0,1.0,0.0,0.0,0.0,0.0
103202,eibnebr01,2017,1,LAN,NL,17,33,3,6,0,0,2,6.0,0.0,0.0,2,17.0,0.0,1.0,0.0,0.0,0.0
103204,eliasro01,2017,1,BOS,AL,1,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
103207,ellsbja01,2017,1,NYA,AL,112,356,65,94,20,4,7,39.0,22.0,3.0,41,63.0,3.0,5.0,2.0,0.0,7.0
103223,ethiean01,2017,1,LAN,NL,22,34,3,8,1,0,2,3.0,0.0,0.0,4,10.0,1.0,0.0,0.0,0.0,0.0
